Temps;Pouls
2;78
3;62
4;66
5;79
6;78
7;66
8;79
9;78
10;63
11;68
12;67
13;66
14;76
15;65
16;69
17;63
18;71
19;75
20;72
21;64
22;73
23;72
24;64
25;75
26;71
27;77
28;76
29;66
30;61
31;74
32;69
33;77
34;70
35;80
36;74
37;80
38;69
39;73
40;67
41;69
42;61
43;69
44;69
45;79
46;66
47;66
48;76
49;77
50;75
51;61
52;60
53;63
54;62
55;78
56;64
57;67
58;75
59;77
60;66
61;73
62;67
63;80
64;71
65;69
66;72
67;74
68;71
69;62
70;64
71;70
72;60
73;66
74;79
75;68
76;76
77;66
78;69
79;65
80;68
81;60
82;73
83;79
84;74
85;77
86;71
87;69
88;66
89;64
90;65
91;60
92;64
93;80
94;78
95;72
96;63
97;76
98;71
99;75
100;67
101;74
102;74
103;70
104;78
105;69
106;78
107;80
108;75
109;75
110;69
111;75
112;75
113;63
114;69
115;67
116;80
117;79
118;75
119;77
120;78
121;78
122;78
123;68
124;61
125;66
126;61
127;71
128;68
129;62
130;69
131;73
132;73
133;75
134;66
135;63
136;60
137;73
138;69
139;73
140;74
141;76
142;80
143;69
144;63
145;65
146;79
147;79
148;79
149;62
150;71
151;60
152;63
153;78
154;73
155;78
156;69
157;73
158;80
159;77
160;64
161;67
162;65
163;71
164;62
165;67
166;63
167;66
168;79
169;70
170;74
171;62
172;72
173;69
174;69
175;66
176;64
177;75
178;64
179;79
180;74
181;72
182;72
183;60
184;79
185;62
186;75
187;65
188;72
189;61
190;60
191;79
192;76
193;60
194;61
195;79
196;80
197;77
198;63
199;66
200;71
201;69
202;62
203;67
204;75
205;69
206;65
207;66
208;69
209;62
210;62
211;74
212;70
213;80
214;64
215;65
216;80
217;68
218;78
219;71
220;76
221;77
222;65
223;66
224;72
225;79
226;80
227;70
228;77
229;70
230;76
231;66
232;70
233;66
234;73
235;61
236;64
237;64
238;76
239;65
240;60
241;77
242;66
243;75
244;75
245;73
246;67
247;66
248;63
249;69
250;67
251;73
252;63
253;71
254;68
255;74
256;62
257;66
258;80
259;65
260;68
261;66
262;74
263;71
264;75
265;78
266;68
267;72
268;64
269;62
270;68
271;66
272;75
273;60
274;63
275;72
276;73
277;73
278;78
279;61
280;76
281;67
282;78
283;70
284;64
285;69
286;60
287;77
288;71
289;64
290;73
291;74
292;62
293;62
294;78
295;79
296;77
297;77
298;63
299;72
300;62
301;73
302;67
303;64
304;74
305;71
306;68
307;60
308;71
309;71
310;74
311;76
312;80
313;65
314;63
315;61
316;76
317;75
318;71
319;61
320;68
321;61
322;72
323;63
324;72
325;68
326;77
327;70
328;69
329;67
330;60
331;70
332;75
333;78
334;79
335;67
336;67
337;77
338;67
339;71
340;73
341;69
342;70
343;68
344;68
345;70
346;80
347;66
348;64
349;61
350;79
351;64
352;70
353;78
354;69
355;72
356;74
357;75
358;75
359;65
360;63
361;71
362;61
363;80
364;68
365;68
366;62
367;71
368;66
369;69
370;76
371;80
